index,dtm_score
827.0,235.0
500.0,924.0
549.0,477.0
773.0,231.0
644.0,683.0
680.0,534.0
283.0,373.0
882.0,175.0
821.0,595.0
317.0,444.0
321.0,401.0
777.0,390.0
548.0,338.0
834.0,429.0
1008.0,385.0
1523.0,569.0
879.0,433.0
913.0,262.0
292.0,578.0
1831.0,352.0
295.0,610.0
677.0,452.0
383.0,542.0
1634.0,191.0
691.0,308.0
1798.0,416.0
869.0,326.0
313.0,592.0
649.0,371.0
945.0,708.0
493.0,749.0
1942.0,742.0
351.0,290.0
359.0,516.0
403.0,524.0
1341.0,821.0
2009.0,646.0
628.0,628.0
299.0,308.0
771.0,471.0
667.0,623.0
1382.0,359.0
2027.0,624.0
279.0,539.0
1348.0,443.0
67.0,477.0
280.0,686.0
1345.0,423.0
284.0,535.0
922.0,230.0
193.0,592.0
1528.0,622.0
187.0,746.0
186.0,588.0
2101.0,252.0
1439.0,536.0
400.0,685.0
286.0,511.0
774.0,762.0
1337.0,700.0
959.0,614.0
506.0,244.0
282.0,399.0
1156.0,383.0
369.0,466.0
1700.0,573.0
1846.0,509.0
270.0,997.0
545.0,272.0
1483.0,374.0
236.0,757.0
551.0,517.0
1732.0,386.0
671.0,507.0
672.0,745.0
795.0,444.0
801.0,343.0
621.0,511.0
185.0,389.0
385.0,426.0
1505.0,456.0
957.0,545.0
1653.0,429.0
678.0,464.0
312.0,590.0
1.0,730.0
1678.0,535.0
819.0,600.0
1747.0,736.0
1868.0,257.0
1354.0,403.0
1276.0,591.0
970.0,282.0
1437.0,568.0
300.0,477.0
806.0,520.0
669.0,621.0
1524.0,317.0
188.0,641.0
406.0,239.0
811.0,499.0
1623.0,572.0
831.0,450.0
1229.0,391.0
802.0,340.0
523.0,735.0
1330.0,676.0
1379.0,380.0
513.0,260.0
391.0,691.0
639.0,134.0
1476.0,258.0
1776.0,283.0
1273.0,443.0
606.0,749.0
689.0,268.0
1244.0,681.0
1900.0,529.0
656.0,591.0
1984.0,334.0
1948.0,504.0
343.0,520.0
664.0,643.0
1606.0,723.0
1919.0,344.0
1383.0,486.0
1914.0,586.0
197.0,496.0
375.0,354.0
402.0,480.0
812.0,16.0
427.0,269.0
352.0,383.0
2115.0,664.0
457.0,376.0
1738.0,573.0
1893.0,465.0
389.0,491.0
926.0,445.0
1638.0,787.0
980.0,522.0
1236.0,315.0
1879.0,484.0
878.0,617.0
1465.0,457.0
1913.0,619.0
557.0,513.0
805.0,442.0
1849.0,610.0
676.0,210.0
410.0,352.0
943.0,605.0
1187.0,656.0
932.0,500.0
1406.0,408.0
1537.0,565.0
163.0,772.0
172.0,656.0
674.0,284.0
522.0,425.0
527.0,718.0
1966.0,595.0
1958.0,633.0
1991.0,853.0
1339.0,503.0
1502.0,625.0
333.0,605.0
209.0,652.0
1138.0,592.0
1609.0,634.0
2029.0,264.0
1257.0,475.0
1749.0,852.0
2057.0,461.0
298.0,394.0
1801.0,554.0
293.0,483.0
1543.0,325.0
191.0,204.0
928.0,589.0
546.0,802.0
253.0,185.0
995.0,230.0
1496.0,671.0
1762.0,322.0
835.0,935.0
1404.0,975.0
344.0,977.0
1924.0,905.0
954.0,783.0
1318.0,752.0
35.0,835.0
387.0,777.0
345.0,983.0
665.0,815.0
1351.0,525.0
1444.0,796.0
269.0,883.0
1481.0,346.0
303.0,229.0
322.0,510.0
635.0,486.0
1096.0,346.0
1214.0,156.0
2078.0,241.0
194.0,412.0
1614.0,269.0
632.0,555.0
1409.0,207.0
1468.0,842.0
907.0,379.0
912.0,736.0
1107.0,421.0
1315.0,302.0
1612.0,384.0
262.0,388.0
781.0,767.0
1112.0,561.0
1838.0,803.0
1896.0,352.0
768.0,513.0
273.0,504.0
376.0,503.0
1731.0,665.0
633.0,725.0
1605.0,782.0
218.0,573.0
243.0,619.0
346.0,498.0
976.0,2.0
180.0,136.0
307.0,497.0
1519.0,517.0
1662.0,409.0
315.0,191.0
422.0,682.0
1369.0,943.0
608.0,449.0
734.0,508.0
1504.0,448.0
1897.0,605.0
1996.0,704.0
529.0,327.0
798.0,803.0
196.0,679.0
1498.0,547.0
1620.0,607.0
1641.0,379.0
1661.0,674.0
793.0,598.0
1408.0,288.0
822.0,722.0
1755.0,154.0
381.0,830.0
1381.0,374.0
1969.0,185.0
1350.0,333.0
797.0,148.0
1100.0,40.0
1359.0,600.0
1428.0,647.0
1794.0,712.0
824.0,811.0
1117.0,269.0
1934.0,597.0
139.0,239.0
1643.0,244.0
1943.0,363.0
1968.0,162.0
2110.0,818.0
816.0,945.0
825.0,503.0
1186.0,539.0
1561.0,807.0
1828.0,149.0
189.0,143.0
934.0,147.0
936.0,474.0
225.0,751.0
505.0,1010.0
602.0,992.0
685.0,514.0
755.0,955.0
876.0,1292.0
958.0,985.0
311.0,741.0
533.0,968.0
967.0,724.0
1314.0,630.0
1572.0,560.0
338.0,562.0
1515.0,707.0
1626.0,1118.0
660.0,836.0
380.0,742.0
2025.0,1101.0
192.0,673.0
405.0,600.0
1335.0,837.0
726.0,1019.0
1333.0,909.0
1526.0,653.0
325.0,629.0
706.0,817.0
1559.0,773.0
362.0,630.0
408.0,688.0
1217.0,802.0
1580.0,228.0
304.0,568.0
536.0,681.0
810.0,781.0
921.0,926.0
1648.0,1054.0
156.0,603.0
395.0,801.0
1490.0,225.0
1412.0,1226.0
1631.0,1.0
1098.0,607.0
1396.0,711.0
939.0,1210.0
1706.0,817.0
1807.0,599.0
216.0,712.0
349.0,775.0
1223.0,717.0
1566.0,238.0
1899.0,700.0
1489.0,641.0
1802.0,195.0
2015.0,675.0
732.0,301.0
1132.0,844.0
2035.0,646.0
1260.0,578.0
58.0,757.0
1277.0,111.0
1310.0,780.0
364.0,583.0
1367.0,214.0
782.0,288.0
1255.0,349.0
1503.0,887.0
2032.0,824.0
2021.0,820.0
70.0,803.0
336.0,421.0
617.0,690.0
1479.0,767.0
800.0,254.0
1635.0,1035.0
944.0,876.0
1976.0,401.0
2040.0,198.0
467.0,666.0
820.0,662.0
1194.0,272.0
1632.0,636.0
1655.0,1035.0
374.0,66.0
461.0,676.0
190.0,774.0
737.0,119.0
940.0,761.0
1424.0,52.0
2006.0,536.0
278.0,14.0
462.0,640.0
1742.0,953.0
2072.0,657.0
1089.0,78.0
1224.0,81.0
30.0,216.0
114.0,753.0
682.0,881.0
1423.0,806.0
1753.0,712.0
688.0,89.0
1772.0,32.0
1823.0,778.0
52.0,793.0
1679.0,699.0
74.0,1089.0
31.0,344.0
294.0,932.0
1189.0,634.0
1765.0,821.0
285.0,476.0
641.0,870.0
815.0,149.0
1866.0,896.0
1101.0,542.0
2063.0,544.0
731.0,600.0
919.0,772.0
972.0,356.0
88.0,477.0
211.0,99.0
561.0,716.0
567.0,969.0
1206.0,593.0
1707.0,881.0
105.0,1035.0
814.0,565.0
1087.0,777.0
1323.0,905.0
1748.0,458.0
516.0,774.0
1587.0,686.0
1611.0,857.0
1058.0,636.0
1219.0,317.0
1103.0,247.0
532.0,540.0
952.0,370.0
1724.0,721.0
85.0,364.0
499.0,329.0
508.0,246.0
648.0,289.0
850.0,296.0
1647.0,801.0
1779.0,396.0
1999.0,212.0
579.0,372.0
1288.0,678.0
1357.0,878.0
974.0,629.0
1053.0,619.0
224.0,610.0
1109.0,367.0
1380.0,720.0
1486.0,543.0
287.0,682.0
1230.0,672.0
1463.0,256.0
123.0,491.0
636.0,662.0
918.0,235.0
1222.0,538.0
1864.0,480.0
251.0,711.0
448.0,440.0
1413.0,241.0
1491.0,448.0
1621.0,672.0
416.0,402.0
432.0,722.0
620.0,708.0
647.0,547.0
160.0,304.0
1250.0,203.0
1989.0,552.0
326.0,629.0
1507.0,670.0
2118.0,256.0
399.0,874.0
623.0,264.0
1785.0,234.0
578.0,350.0
950.0,753.0
1235.0,751.0
1521.0,622.0
503.0,213.0
1355.0,661.0
1374.0,530.0
1586.0,754.0
538.0,296.0
838.0,350.0
1841.0,258.0
261.0,529.0
324.0,366.0
377.0,561.0
839.0,513.0
1153.0,608.0
1460.0,572.0
320.0,303.0
442.0,164.0
518.0,230.0
1092.0,187.0
